login,time,total_pnl,by_symbol,num_positions
183459647,2025-07-25T00:39:01.366854,-0.81,"{'GBPCADc': 9.48, 'EURUSDc': -0.45, 'AUDJPYc': -0.16, 'EURNZDc': 0.07, 'USDCHFc': -8.02}",5
263006287,2025-07-25T00:39:11.362373,11.01,"{'NZDUSDc': -2.36, 'GBPJPYc': 7.62, 'EURCADc': -1.14, 'AUDCHFc': 7.36, 'EURUSDc': -0.45}",5
183459647,2025-07-25T00:39:11.377740,-1.01,"{'GBPCADc': 9.53, 'EURUSDc': -0.56, 'AUDJPYc': -0.17, 'EURNZDc': 0.02, 'USDCHFc': -8.1}",5
263006287,2025-07-25T00:39:21.088836,11.14,"{'NZDUSDc': -2.36, 'GBPJPYc': 7.64, 'EURCADc': -1.09, 'AUDCHFc': 7.37, 'EURUSDc': -0.4}",5
183459647,2025-07-25T00:39:21.112067,-0.85,"{'GBPCADc': 9.53, 'EURUSDc': -0.51, 'AUDJPYc': -0.16, 'EURNZDc': 0.07, 'USDCHFc': -8.05}",5
263006287,2025-07-25T00:39:31.116922,11.24,"{'NZDUSDc': -2.35, 'GBPJPYc': 7.66, 'EURCADc': -1.06, 'AUDCHFc': 7.38, 'EURUSDc': -0.37}",5
183459647,2025-07-25T00:39:31.132646,-0.77,"{'GBPCADc': 9.56, 'EURUSDc': -0.48, 'AUDJPYc': -0.16, 'EURNZDc': 0.08, 'USDCHFc': -8.04}",5
263006287,2025-07-25T00:39:41.135809,11.25,"{'NZDUSDc': -2.35, 'GBPJPYc': 7.67, 'EURCADc': -1.06, 'AUDCHFc': 7.38, 'EURUSDc': -0.37}",5
183459647,2025-07-25T00:39:41.151180,-0.77,"{'GBPCADc': 9.56, 'EURUSDc': -0.48, 'AUDJPYc': -0.16, 'EURNZDc': 0.08, 'USDCHFc': -8.04}",5
263006287,2025-07-25T00:39:51.868404,11.22,"{'NZDUSDc': -2.36, 'GBPJPYc': 7.67, 'EURCADc': -1.07, 'AUDCHFc': 7.38, 'EURUSDc': -0.38}",5
183459647,2025-07-25T00:39:51.891682,-0.8,"{'GBPCADc': 9.55, 'EURUSDc': -0.49, 'AUDJPYc': -0.16, 'EURNZDc': 0.07, 'USDCHFc': -8.04}",5
263006287,2025-07-25T00:40:01.888680,11.22,"{'NZDUSDc': -2.35, 'GBPJPYc': 7.68, 'EURCADc': -1.08, 'AUDCHFc': 7.37, 'EURUSDc': -0.38}",5
183459647,2025-07-25T00:40:01.903751,-0.8,"{'GBPCADc': 9.55, 'EURUSDc': -0.49, 'AUDJPYc': -0.15, 'EURNZDc': 0.06, 'USDCHFc': -8.04}",5
263006287,2025-07-25T00:40:11.914988,11.24,"{'NZDUSDc': -2.34, 'GBPJPYc': 7.7, 'EURCADc': -1.09, 'AUDCHFc': 7.37, 'EURUSDc': -0.38}",5
183459647,2025-07-25T00:40:11.914988,-0.81,"{'GBPCADc': 9.54, 'EURUSDc': -0.49, 'AUDJPYc': -0.17, 'EURNZDc': 0.06, 'USDCHFc': -8.02}",5
263006287,2025-07-25T00:40:21.936878,11.17,"{'NZDUSDc': -2.35, 'GBPJPYc': 7.74, 'EURCADc': -1.12, 'AUDCHFc': 7.36, 'EURUSDc': -0.44}",5
183459647,2025-07-25T00:40:21.937881,-0.97,"{'GBPCADc': 9.49, 'EURUSDc': -0.55, 'AUDJPYc': -0.15, 'EURNZDc': 0.01, 'USDCHFc': -8.04}",5
263006287,2025-07-25T00:40:31.952754,11.28,"{'NZDUSDc': -2.36, 'GBPJPYc': 7.84, 'EURCADc': -1.12, 'AUDCHFc': 7.37, 'EURUSDc': -0.43}",5
183459647,2025-07-25T00:40:31.971489,-1.11,"{'GBPCADc': 9.36, 'EURUSDc': -0.54, 'AUDJPYc': -0.16, 'EURNZDc': 0.01, 'USDCHFc': -8.05}",5
263006287,2025-07-25T00:40:41.970487,11.37,"{'NZDUSDc': -2.35, 'GBPJPYc': 7.8, 'EURCADc': -1.09, 'AUDCHFc': 7.41, 'EURUSDc': -0.38}",5
183459647,2025-07-25T00:40:41.986407,-0.87,"{'GBPCADc': 9.43, 'EURUSDc': -0.49, 'AUDJPYc': -0.16, 'EURNZDc': 0.05, 'USDCHFc': -7.97}",5
263006287,2025-07-25T00:40:51.990748,11.36,"{'NZDUSDc': -2.35, 'GBPJPYc': 7.79, 'EURCADc': -1.08, 'AUDCHFc': 7.41, 'EURUSDc': -0.39}",5
183459647,2025-07-25T00:40:52.006772,-0.85,"{'GBPCADc': 9.45, 'EURUSDc': -0.5, 'AUDJPYc': -0.16, 'EURNZDc': 0.06, 'USDCHFc': -7.97}",5
263006287,2025-07-25T00:41:01.998755,11.26,"{'NZDUSDc': -2.37, 'GBPJPYc': 7.83, 'EURCADc': -1.1, 'AUDCHFc': 7.37, 'EURUSDc': -0.45}",5
